time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
73003,-1.47,-0.13,0.05,0.03,-0.00,-0.07
73004,-1.16,0.19,-0.36,0.03,-0.11,-0.17
73005,-1.26,-0.13,-0.05,-0.08,-0.00,-0.17
73006,-1.47,-0.02,0.05,0.13,-0.00,0.04
73007,-1.05,0.08,-0.26,0.03,-0.11,-0.07
73008,-1.05,-0.23,0.05,0.03,-0.00,-0.07
73009,-1.36,-0.02,0.05,-0.08,-0.00,0.04
73010,-1.16,-0.13,-0.36,0.03,-0.00,-0.07
73011,-1.26,-0.13,-0.05,-0.08,-0.11,0.04
73012,-1.36,-0.13,-0.05,0.13,0.10,0.04
73013,-1.26,0.08,-0.05,-0.08,-0.00,-0.17
73014,-1.16,0.08,-0.16,0.03,-0.11,-0.07
73015,-1.36,-0.02,0.16,0.03,-0.11,0.04
73016,-1.36,-0.02,-0.16,0.03,-0.00,-0.07
73017,-1.26,0.08,-0.36,0.13,-0.11,-0.07
73018,-1.16,-0.13,0.16,0.03,-0.00,-0.17
73019,-1.26,-0.02,-0.16,0.13,-0.11,-0.17
73020,-1.05,-0.13,-0.26,-0.08,-0.00,-0.07
73021,-1.16,-0.13,0.26,0.03,-0.00,0.04
73022,-1.36,-0.02,-0.16,0.03,-0.00,-0.07
73023,-1.16,-0.13,-0.36,0.03,-0.11,-0.17
73024,-1.26,0.08,0.16,0.03,-0.11,-0.07
73025,-1.26,-0.02,-0.05,-0.08,-0.11,-0.07
73026,-1.16,-0.02,-0.16,-0.08,-0.11,-0.07
73027,-1.26,-0.02,0.16,-0.18,-0.21,-0.17
73028,-1.16,0.29,-0.05,0.03,-0.11,-0.17
73029,-1.36,-0.13,-0.36,-0.08,-0.11,0.04
73030,-1.36,-0.23,0.05,0.03,-0.11,-0.17
73031,-1.26,0.08,0.05,0.03,-0.11,-0.07
73032,-1.16,-0.23,-0.36,0.03,-0.11,-0.07
