time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
16978,-1.26,-0.13,-0.16,-0.18,-0.21,-0.07
16979,-1.26,-0.13,-0.05,-0.18,-0.21,-0.17
16980,-1.26,-0.02,-0.16,-0.08,-0.11,-0.17
16981,-1.26,-0.13,0.05,0.03,-0.11,-0.17
16982,-1.26,-0.02,-0.05,0.03,-0.11,-0.07
16983,-1.16,-0.02,-0.05,-0.08,-0.11,-0.17
16984,-1.36,-0.13,-0.05,0.03,-0.11,-0.17
16985,-1.26,-0.02,-0.05,-0.08,-0.11,-0.28
16986,-1.26,-0.02,-0.16,0.03,-0.11,-0.17
16987,-1.26,-0.02,-0.05,0.03,-0.21,-0.07
16988,-1.26,-0.13,-0.05,-0.18,-0.21,0.04
16989,-1.26,-0.13,-0.05,-0.08,-0.21,-0.17
16990,-1.26,-0.02,-0.16,-0.08,-0.00,-0.28
16991,-1.26,-0.13,-0.05,-0.08,-0.00,-0.17
16992,-1.26,-0.02,-0.05,-0.08,-0.11,-0.17
16993,-1.26,-0.02,-0.05,0.03,-0.11,-0.17
16994,-1.26,-0.02,-0.05,0.03,-0.11,-0.07
16995,-1.26,-0.13,-0.05,-0.08,-0.11,-0.07
16996,-1.26,-0.02,-0.16,0.03,-0.21,-0.07
16997,-1.47,-0.02,-0.05,0.03,-0.11,-0.28
16998,-1.26,-0.02,-0.05,0.03,-0.21,-0.28
16999,-1.16,-0.02,-0.16,0.03,-0.11,-0.17
17000,-1.26,-0.13,-0.05,0.03,-0.11,-0.17
17001,-1.36,-0.02,-0.05,-0.08,-0.00,-0.17
17002,-1.26,-0.02,-0.05,-0.08,-0.11,-0.28
17003,-1.26,-0.02,-0.05,0.03,-0.21,-0.17
17004,-1.26,-0.02,-0.05,-0.08,-0.11,-0.17
17005,-1.36,-0.02,-0.05,0.03,-0.21,-0.07
17006,-1.26,-0.02,-0.05,-0.08,-0.11,-0.17
17007,-1.26,-0.13,-0.16,-0.08,-0.21,-0.07
17008,-1.26,-0.02,-0.16,-0.08,-0.11,-0.07
17009,-1.36,-0.02,-0.16,-0.08,-0.21,-0.07
17010,-1.16,-0.13,-0.05,-0.08,-0.21,-0.17
17011,-1.36,-0.02,-0.05,-0.08,-0.21,-0.07
17012,-1.26,-0.02,-0.05,-0.08,-0.11,-0.17
17013,-1.26,-0.02,-0.05,-0.08,-0.11,-0.17
17014,-1.16,-0.02,-0.05,0.03,-0.11,-0.17
17015,-1.26,-0.13,-0.05,-0.08,-0.11,-0.07
17016,-1.16,-0.02,-0.16,-0.08,-0.21,-0.07
17017,-1.26,-0.13,-0.05,-0.08,-0.21,-0.07
17018,-1.26,-0.13,-0.16,0.03,-0.11,-0.17
17019,-1.26,-0.02,-0.05,0.03,-0.11,-0.07
17020,-1.36,-0.02,-0.05,-0.08,-0.00,-0.17
17021,-1.26,-0.02,-0.16,0.03,-0.11,-0.17
17022,-1.26,-0.02,-0.05,-0.08,-0.11,-0.28
17023,-1.26,-0.13,-0.05,-0.08,-0.11,-0.17
17024,-1.26,-0.13,-0.05,-0.08,-0.21,-0.07
17025,-1.26,-0.13,-0.05,0.03,-0.11,-0.28
17026,-1.26,-0.13,-0.05,-0.08,-0.11,-0.07
17027,-1.26,-0.13,-0.05,0.03,-0.11,-0.07
17028,-1.26,-0.13,-0.05,0.03,-0.11,-0.17
17029,-1.26,-0.13,-0.05,0.03,-0.21,-0.17
17030,-1.26,-0.13,-0.05,-0.08,-0.21,-0.17
17031,-1.26,-0.13,-0.05,0.03,-0.11,-0.17
17032,-1.26,-0.02,-0.05,-0.08,-0.11,-0.07
17033,-1.36,-0.02,-0.05,-0.08,-0.11,-0.17
17034,-1.26,-0.02,-0.05,0.03,-0.21,-0.28
17035,-1.36,-0.02,-0.05,-0.08,-0.00,-0.28
17036,-1.36,-0.13,-0.05,-0.08,-0.11,-0.17
17037,-1.26,-0.02,-0.05,-0.08,-0.11,-0.07
17038,-1.26,-0.02,-0.05,0.03,-0.11,-0.28
17039,-1.26,-0.02,-0.05,0.03,-0.11,-0.17
17040,-1.36,-0.02,-0.05,-0.08,-0.11,-0.17
17041,-1.36,-0.13,-0.05,-0.08,-0.11,-0.17
17042,-1.26,0.08,-0.05,-0.08,-0.11,-0.17
