time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
10246,-1.26,-0.13,-0.16,0.03,-0.11,-0.17
10247,-1.26,-0.02,-0.05,-0.18,-0.11,-0.17
10248,-1.26,-0.02,-0.05,0.03,-0.21,-0.17
10249,-1.26,-0.13,-0.05,0.03,-0.00,-0.07
10250,-1.26,-0.02,-0.16,-0.08,-0.11,0.04
10251,-1.16,-0.02,-0.05,-0.08,-0.21,-0.17
10252,-1.36,-0.13,-0.05,0.13,-0.11,-0.07
10253,-1.26,-0.13,-0.05,0.03,-0.21,-0.07
10254,-1.36,-0.13,-0.16,-0.08,-0.11,-0.07
10255,-1.26,-0.02,-0.16,-0.08,-0.11,-0.17
10256,-1.26,-0.02,-0.05,-0.08,-0.11,0.04
10257,-1.26,-0.02,-0.05,0.13,-0.11,0.04
10258,-1.26,-0.02,-0.05,0.03,-0.11,-0.07
10259,-1.36,-0.02,-0.16,0.03,-0.11,-0.17
10260,-1.16,-0.02,-0.05,-0.08,-0.00,-0.17
10261,-1.36,-0.13,-0.05,0.13,-0.11,-0.17
10262,-1.16,-0.02,-0.05,-0.08,-0.11,-0.17
10263,-1.26,-0.13,-0.05,0.03,-0.11,-0.07
10264,-1.26,-0.13,-0.05,0.03,-0.11,-0.17
10265,-1.26,-0.02,-0.05,0.03,-0.21,-0.17
10266,-1.26,-0.02,-0.05,-0.08,-0.11,-0.07
10267,-1.26,-0.02,-0.05,0.03,-0.11,-0.17
10268,-1.36,-0.02,-0.16,0.03,-0.11,-0.17
10269,-1.16,-0.02,-0.05,0.03,-0.11,-0.17
10270,-1.26,-0.13,-0.05,0.03,-0.21,-0.07
10271,-1.36,-0.13,-0.05,-0.08,-0.21,-0.07
10272,-1.16,-0.02,-0.05,0.03,-0.11,-0.28
10273,-1.26,-0.13,-0.05,0.03,-0.11,-0.17
10274,-1.36,-0.13,-0.05,0.03,-0.00,-0.07
10275,-1.16,-0.02,-0.05,0.03,-0.11,-0.07
10276,-1.26,-0.02,-0.05,0.03,-0.00,-0.07
10277,-1.26,-0.02,-0.05,-0.08,-0.21,-0.17
10278,-1.26,-0.23,-0.16,-0.08,-0.11,-0.07
10279,-1.26,-0.02,-0.05,0.03,-0.21,-0.07
10280,-1.26,-0.02,0.05,0.03,-0.11,-0.17
10281,-1.16,-0.02,-0.05,-0.08,-0.11,-0.07
10282,-1.26,-0.02,-0.05,-0.18,-0.21,-0.07
10283,-1.26,-0.02,-0.05,-0.08,-0.11,-0.17
10284,-1.26,-0.13,-0.16,0.13,-0.11,-0.07
10285,-1.26,-0.02,-0.05,-0.08,-0.21,-0.17
10286,-1.36,-0.02,-0.05,-0.08,-0.11,-0.17
10287,-1.26,-0.02,-0.05,-0.08,-0.11,-0.17
10288,-1.26,-0.13,-0.05,-0.08,-0.11,-0.07
10289,-1.26,-0.02,-0.16,0.03,-0.11,-0.17
10290,-1.36,-0.02,-0.05,0.03,-0.00,-0.07
10291,-1.26,-0.13,-0.05,-0.08,-0.00,-0.17
10292,-1.26,-0.02,-0.05,0.03,-0.11,-0.28
