xtime[s],xdist    [m],PM_commandedTorque[Nm],PM_dcBusCurrent[A],PM_dcBusVolt[V],PM_motorSpeed[rpm],PM_torqueFeedback[Nm]
4.7,0,43.9,25.1,305.1,1614,44.5
4.8,0,53.3,29.4,303.7,1542,52.9
4.9,0,73.2,43.1,299.8,1583,74.6
5,0,89.5,54.7,296.5,1649,89.6
5.1,0,97.9,61,294.7,1677,95.4
5.2,0,151.6,118.3,276.6,1873,158.8
5.3,0,200,174.1,260,2103,212
5.4,0,200,183.5,257.6,2248,201.3
5.5,0,200,190,256.3,2351,191.6
5.6,0,200,177.5,259.8,2249,188.2
5.7,0,200,171.3,259,2199,192.4
5.8,0,200,182.1,254.2,2317,195.9
5.9,0,200,193.4,250,2430,193.9
6,0,200,206.3,244,2517,206.4
6.1,0,102.9,109.1,274.3,2397,112.7
6.2,0,1,0.6,309.8,2063,0.7
6.3,0,0,0,310.8,1901,0.3
6.4,0,0,0,311.9,1853,0.2
6.5,0,0,-0.1,312.4,1636,0.4
6.6,0,7.3,4.3,311,1514,6.9
6.7,0,40.4,24.8,304.5,1602,41.1
6.8,0,68.9,42.5,299,1663,68.6
6.9,0,74.4,45.6,298.6,1658,74.1
7,0,84.9,53.6,295.9,1692,85.5
7.1,0,48.3,31.1,302.3,1673,48
7.2,0,1.5,0.7,311.6,1677,1.1
7.3,0,0,0,312.5,1576,-1.2
7.4,0,0,0,312.2,1325,-0.6
7.5,0,13.2,7.3,310.2,1364,14.6
7.6,0,26.5,14.1,308.9,1484,26.6
7.7,0,17.2,8.3,310.2,1402,16
7.8,0,6.5,2.7,312,1330,6.4
7.9,0,11.8,5.3,311.5,1337,12.2
8,0,35.6,17.4,308.2,1350,36.7
8.1,0,56.9,28.8,304.7,1397,57
8.2,0,81.6,45.9,300,1495,78
8.3,0,104.5,61.6,294.6,1565,105.1
8.4,0,115.8,70.2,291.5,1595,119.9
8.5,0,124,77.6,289.6,1647,124.7
8.6,0,130.3,85.1,286.9,1703,134.7
8.7,0,137.5,91.2,285.2,1737,139.8
8.8,0,133,90.2,285.1,1812,129.6
8.9,0,126,90.6,284.6,1920,121.9
9,0,123.5,93.9,282.3,1994,124.4
9.1,0,125.5,101.9,278.6,2111,133.5
9.2,0,127.4,107.5,278.4,2195,134.6
9.3,0,145.6,131.5,272.7,2280,154.9
9.4,0,180.6,175.8,260.2,2373,182.6
9.5,0,199.5,198.4,254.1,2408,187.4
9.6,0,200,204.6,249.9,2485,185.8
9.7,0,185.3,193.7,251.6,2595,176.9
9.8,0,184.7,213,245.8,2691,184.7
9.9,0,179.4,226.4,239.5,2807,182.2
10,0,163.9,219.3,239.4,2927,161.9
10.1,0,163.6,255.7,229.8,3045,156.5
10.2,0,154.1,270.1,226.5,3111,151.8
10.3,0,77,138.8,265.7,2915,78.7
10.4,0,0,2.5,308.2,2628,0.7
10.5,0,0,0.1,309.9,2423,0.4
10.6,0,0,0.1,310.3,1932,-0.2
10.7,0,0,-0.1,310.2,1639,-0.6
10.8,0,0,-0.1,310.6,1719,-0.3
10.9,0,0,0.1,311.3,1710,0.8
11,0,0.4,0.2,311.7,1775,0.2
11.1,0,4.9,3,310.9,1824,4.1
11.2,0,26.1,19.6,305.5,1949,26.4
11.3,0,50.9,36.9,300.4,2018,50
11.4,0,72.2,53.4,296.3,1985,70
11.5,0,92.3,71.6,290.5,2050,93.1
11.6,0,141.6,96.3,282.9,2040,121
11.7,0,193.4,164.9,263,2219,169.7
11.8,0,186.8,181.3,257.5,2291,182.7
11.9,0,186.2,166.6,260.5,2269,177.3
12,0,200,190.5,249.8,2379,194.3
12.1,0,106.9,122.7,268.9,2392,129.3
12.2,0,5.1,24.6,301.1,2314,29
12.3,0,0,0,309.3,1816,-0.3
12.4,0,0.9,0.2,309.9,1189,1.7
12.5,0,3.4,1,310.3,1117,3
12.6,0,14.7,9,308.5,1573,13.3
12.7,0,18.1,11.5,307.8,1804,17.2
12.8,0,20.8,12.6,307.3,1749,18.8
12.9,0,48.6,32.9,301.3,1836,48.3
13,0,48.8,32.6,301.6,1787,51.4
13.1,0,18.7,10.8,309.1,1723,19.1
13.2,0,3.5,1.9,311.1,1631,2.8
13.3,0,6.9,3.5,309.9,1502,6.5
13.4,0,62,44.2,299.5,1678,58.8
13.5,0,57.1,42.2,300.7,1619,54.6
13.6,0,3.9,1.9,311.5,1490,4.6
13.7,0,17.3,9.9,308.5,1673,17.6
13.8,0,20.6,11.5,307.9,1593,20
13.9,0,26.7,14.2,307.2,1498,26.7
14,0,35.1,18.4,306.3,1492,34.2
14.1,0,15.3,7.5,310.4,1328,14.2
14.2,0,0.4,0.1,312.8,1196,1
14.3,0,0.9,0.3,312.3,1123,1.4
14.4,0,0.5,0.2,312.3,1055,1.3
14.5,0,4.4,1.8,311.6,1076,4.9
14.6,0,4.6,3.7,311,1106,4
14.7,0,0,1.9,311.9,1006,-1.2
14.8,0,4.4,1.6,312.7,937,3.9
14.9,0,29.5,9.5,310.4,930,28.1
15,0,95.5,40.7,300.3,1048,90.5
15.1,0,121.9,57.2,295.1,1256,115.4
15.2,0,84.2,39,300.3,1277,83.3
15.3,0,62,27.7,302.8,1257,64.5
15.4,0,76.1,37.8,299.9,1336,78.8
15.5,0,98.4,52.8,295.8,1438,102.8
15.6,0,100.4,54.8,295,1476,102.3
15.7,0,106.8,60.2,293.7,1516,106.2
15.8,0,126.7,77.1,289.1,1596,122.6
15.9,0,167.4,119.6,275.1,1798,162.4
16,0,197.9,155.1,265,1956,193.2
16.1,0,200,163.6,261.3,2051,205.8
16.2,0,182.3,157.6,262.1,2215,190.7
16.3,0,89.5,77.6,287.8,2026,88.6
16.4,0,22.2,12.8,307,1744,22.7
16.5,0,114.8,93.6,284.3,1873,116.9
16.6,0,151,116.6,277.6,1927,147.5
16.7,0,50.9,57.8,293.6,1916,82.6
16.8,0,4.4,30.4,301.7,1843,43.9
16.9,0,30.5,19.6,305.4,1779,31
17,0,31.4,20.8,305.3,1899,31.5
17.1,0,14.8,8.7,308.9,1827,14.4
17.2,0,43.4,29.3,302.6,1806,43.7
17.3,0,71.8,49.9,296.3,1862,74.8
17.4,0,82.9,58.1,293.7,1872,87.2
17.5,0,60.6,41.1,299.2,1805,62.7
17.6,0,22.7,12.4,308.4,1654,22.9
17.7,0,14,7.4,309.8,1652,13.7
17.8,0,16.4,9.2,309.6,1683,16.6
17.9,0,63.5,43.6,299.8,1780,61.4
18,0,118.3,87.6,286.9,1919,118.9
18.1,0,161.7,133.7,274.9,2031,164.9
18.2,0,199,176.3,262,2134,194.8
18.3,0,116.7,100.3,281.6,1920,113.3
18.4,0,15.3,7.7,309.1,1795,16.3
18.5,0,0,-0.1,312,1768,-0.2
18.6,0,0,0,311.5,1622,-0.5
18.7,0,0,0,311.9,1572,0.4
18.8,0,0,0,312.5,1434,0.5
18.9,0,3.9,2.2,311.9,1438,3.9
19,0,11.9,6.2,310.5,1438,12
19.1,0,25.7,13,308.3,1410,26.1
19.2,0,30.1,14.8,307.3,1414,28.9
19.3,0,22,10.1,308.6,1357,21.5
19.4,0,27.3,13.4,308.1,1403,29.9
19.5,0,49.6,27.2,304.3,1521,49.9
19.6,0,59.5,32.6,302.3,1524,57.4
19.7,0,55.4,31.8,302.5,1610,55.3
19.8,0,56,33.6,302.2,1688,56.5
19.9,0,54.9,31.4,302.5,1609,55.7
20,0,53.9,30.5,302.9,1589,56.1
20.1,0,55.4,30.8,303,1566,57.9
20.2,0,51.6,28.2,303.7,1554,52.7
20.3,0,60.7,36.9,301.5,1660,62.4
20.4,0,107.4,70.9,291.8,1737,108.6
20.5,0,152.2,108.4,280.1,1809,154
20.6,0,182.6,151.5,265.3,2040,186.6
20.7,0,200,167.4,260.2,2073,201.3
20.8,0,200,155.8,263.7,1994,200.8
20.9,0,200,164.8,259.7,2093,205.4
21,0,200,168.7,257.4,2137,210.6
21.1,0,200,168.2,256.4,2152,201.6
21.2,0,200,180.7,251.9,2297,203.9
21.3,0,179.4,167.7,256.7,2389,189
21.4,0,80.6,74.5,287.4,2274,79.9
21.5,0,0,0,311,2062,-0.6
21.6,0,0,0,310.8,1818,-0.2
21.7,0,0,0,310.5,1428,-0.6
21.8,0,0,-0.1,311.2,1047,-1.6
21.9,0,15.6,5.3,309.9,1080,11.3
22,0,54,29,302.7,1464,54.7
22.1,0,81.4,50.5,296.4,1657,84.5
22.2,0,85.9,54.6,295.2,1700,86.5
22.3,0,86.4,57,294,1769,88.1
22.4,0,85.9,57.6,294.1,1817,82.9
22.5,0,85.4,57.7,294.4,1845,81
22.6,0,97.7,70.3,290.8,1910,92.6
22.7,0,112.4,85.6,285.8,1990,112.5
22.8,0,131.6,107,279.6,2084,137.7
22.9,0,173.9,157.6,266.7,2227,171.9
23,0,200,185.1,258.1,2242,198.6
23.1,0,200,179.5,256.6,2215,198.1
23.2,0,200,183.7,255.3,2285,201.2
23.3,0,200,193.9,253.2,2398,210.6
23.4,0,200,210.2,244.2,2543,204.1
23.5,0,106.4,115,271.4,2427,105.8
23.6,0,4.6,2.3,308.8,2317,4.7
23.7,0,0,0,310.1,2316,0.6
23.8,0,0,0,310,2147,-0.2
23.9,0,0,0,310.9,1932,0
24,0,0,0,310.7,1655,-0.2
24.1,0,2.4,1.2,309.9,1492,2.1
24.2,0,8.4,4.3,309,1430,9.2
24.3,0,17.9,9.7,308.1,1475,18.5
24.4,0,28.9,16.6,306.9,1618,27.1
24.5,0,17.3,10.2,308.3,1570,14.7
24.6,0,0.4,0.2,310.2,1534,-0.6
24.7,0,11.7,7.2,308.3,1665,12.2
24.8,0,61.1,44,298.1,1812,63.9
24.9,0,83.8,57.3,294.3,1786,84.5
25,0,33.6,19.8,305.6,1525,32.3
25.1,0,0,0,311.8,1392,-0.1
25.2,0,0,0,311.4,1429,-0.6
25.3,0,1.9,0.8,311.1,1461,2.2
25.4,0,15.2,8,309,1522,15.5
25.5,0,46.1,25.2,303.9,1549,43.4
25.6,0,71.3,40.3,299.6,1534,69.4
25.7,0,93.6,58.1,295,1628,94.2
25.8,0,78.6,48.3,298.4,1609,77.9
25.9,0,35.2,18.1,306.6,1513,34.1
26,0,49,27.8,303.6,1555,48.3
26.1,0,74,43.5,299.1,1611,73.5
26.2,0,79.3,47.5,298.1,1645,77.5
26.3,0,89.8,55.9,295.2,1690,89.7
26.4,0,109.2,71.4,289.8,1725,109.9
26.5,0,127.4,88.4,285,1810,126.8
26.6,0,164.8,135,270,2002,167.4
26.7,0,200,172.9,257.2,2121,207.1
26.8,0,200,175.9,255.7,2187,207.3
26.9,0,200,177.6,256.2,2224,196.7
27,0,200,177.3,258.2,2234,201.5
27.1,0,200,187.8,253.9,2369,209.2
27.2,0,200,202.8,246.1,2507,206.5
27.3,0,182.8,198.4,247.2,2648,184
27.4,0,182.1,208.5,243.8,2768,175.6
27.5,0,178.9,246.4,232,2884,188
27.6,0,156,268.6,226.8,3023,174.6
27.7,0,146.2,244.4,233.8,3109,149.4
27.8,0,69.9,108.9,276.2,3099,64.1
27.9,0,0,3.6,308.7,2816,-1.9
28,0,0,0.1,309.7,2354,1.4
28.1,0,0,0,309.9,1907,1.2
28.2,0,0,0,309.4,1427,0
28.3,0,0,0,309.4,1234,-0.1
28.4,0,0,-0.1,309.7,1237,0
28.5,0,0.4,0.2,310.1,1496,0.2
28.6,0,2.4,1.3,309.9,1766,2
28.7,0,6.4,3.8,308.8,1705,6.1
28.8,0,22.2,15.2,305.2,1814,23.7
28.9,0,50.6,38.1,298.5,2015,51.1
29,0,67.9,51,295.3,2021,67.1
29.1,0,88.6,66,290.9,1947,91.8
29.2,0,107.5,83.2,285.7,2015,112.5
29.3,0,152.6,139.5,271.3,2170,160
29.4,0,199.5,189.5,256.6,2261,201
29.5,0,199.5,187.9,252.3,2306,196.3
29.6,0,186.3,179.4,253.5,2395,183.9
29.7,0,87.7,83.4,284,2223,84.2
29.8,0,0,-0.1,309.4,2093,0.3
29.9,0,0,-0.1,310.2,2042,0.3
30,0,0,-0.2,310.1,1629,0
30.1,0,0,0.1,309.8,1466,-0.1
30.2,0,2.4,1.7,309.9,1654,3.4
30.3,0,4.9,2.9,309.6,1679,5.8
30.4,0,4.9,2.7,309.8,1629,5.1
30.5,0,7.4,4.2,309.5,1601,7.9
30.6,0,18.8,10.1,307.8,1543,18.9
30.7,0,34.4,18.9,304.8,1558,33.8
30.8,0,43.5,24,303.2,1559,42.7
30.9,0,29.3,15.4,306.4,1471,27.8
31,0,6.1,2.9,309.9,1397,5.1
31.1,0,0,0,310.7,1423,0.5
31.2,0,16.1,8,308.2,1454,17.4
31.3,0,20.2,9.6,307.5,1389,21.3
31.4,0,17.7,8.9,308,1442,17.3
31.5,0,17.7,8.9,308.1,1406,17.1
31.6,0,3,1.2,311,1204,3.6
31.7,0,0,0,311.8,1143,0.5
31.8,0,0,0,311.6,1114,-0.1
31.9,0,0.9,0.3,311.6,1056,0.7
32,0,42.1,25.1,304,1320,40.5
32.1,0,58.4,31.6,302,1369,55.2
32.2,0,45.7,14.1,306.8,1107,34.2
32.3,0,57,19.4,305.6,1137,46.1
32.4,0,72.6,31.5,302.3,1182,71.1
32.5,0,66.5,29.8,302.2,1262,65.9
32.6,0,27.3,12.1,307.5,1283,28
32.7,0,38,15.6,307.1,1193,37.4
32.8,0,69.4,31.4,302.9,1239,66.4
32.9,0,86.2,42.2,299.9,1321,83.2
33,0,96.9,49.3,297.4,1370,93.9
33.1,0,98.9,52.5,296,1433,94.6
33.2,0,116.6,66.3,291.4,1504,117.7
33.3,0,164.3,106,279.7,1637,171.9
33.4,0,198.4,134.7,271.4,1708,204.2
33.5,0,161.8,102.8,279.6,1629,166.1
33.6,0,118,71.5,288.8,1660,119.4
33.7,0,106.1,69.6,288.9,1797,105.5
33.8,0,75.9,48.9,294.7,1803,76
33.9,0,43.6,27,302.4,1817,44.4
34,0,40.8,25.7,302.6,1827,41.3
34.1,0,45.5,28.2,301.7,1772,45.6
34.2,0,42,25.7,303.3,1751,42.5
34.3,0,29.2,17.3,305.6,1725,27.5
34.4,0,12.5,6.8,308.4,1712,11.4
34.5,0,9.5,5.2,309.6,1728,9.6
34.6,0,30.6,19.9,305,1792,32.3
34.7,0,68.1,47.1,297,1866,72.4
34.8,0,88.9,62.7,292.9,1868,92.1
34.9,0,88.5,61.6,293.1,1865,88.4
35,0,79.6,53.3,295.1,1831,78.2
35.1,0,68.1,44.3,297.7,1811,67.1
35.2,0,47.7,30.5,301.9,1803,48.6
35.3,0,33.4,20.6,304.6,1803,35
35.4,0,35.4,22.2,304.8,1815,34.5
35.5,0,44.7,29.4,303.6,1849,43.3
35.6,0,82.3,35.8,301.6,1890,85.2
35.7,0,112.9,61.2,293.4,1930,119.6
35.8,0,155.6,138.2,270,2082,163.2
35.9,0,200,184.6,254.8,2200,201.3
36,0,200,177.2,254.6,2197,198.7
36.1,0,102,89.7,281.2,1932,102.6
36.2,0,0,-0.3,310,1491,-1.3
36.3,0,0,-0.1,310.8,1165,0
36.4,0,0,0,311,942,-0.4
36.5,0,0,0,310.8,1088,0.4
36.6,0,0,0,310.6,1361,0.9
36.7,0,0.4,0.1,311.1,1358,0.6
36.8,0,20.5,10.4,308.3,1373,20
36.9,0,27.8,13.7,306.7,1380,27.6
37,0,14.5,6.2,309.1,1297,14.6
37.1,0,39.9,21.1,305.2,1398,39.4
37.2,0,59,31.8,302.4,1485,58.7
37.3,0,53.4,28.6,303.3,1503,52.6
37.4,0,64.7,38.7,299.9,1627,64.6
37.5,0,79.9,48.5,296.8,1659,78.9
37.6,0,87.4,52.1,296,1625,84.9
37.7,0,94.9,57.6,294.4,1635,91.6
37.8,0,97,62.4,293.2,1736,91.6
37.9,0,91.5,59.2,293.5,1756,88.7
38,0,90,53.8,294.7,1644,88.3
38.1,0,91,54.3,294.2,1633,91.2
38.2,0,124.8,84.6,286.1,1752,123.3
38.3,0,170.2,129.2,273.7,1913,168.3
38.4,0,190.3,152.9,266,2043,186.2
38.5,0,200,173.9,260.4,2167,190.6
38.6,0,200,174.9,258.2,2147,201.7
38.7,0,200,170.4,256,2160,213.6
38.8,0,200,183,252.9,2324,210.2
38.9,0,200,198.6,250.8,2461,197.4
39,0,102,106.7,277.8,2288,97.3
39.1,0,0,-0.1,308.8,1978,-0.5
39.2,0,0,0.1,309.1,1478,0.7
39.3,0,0,0,309.2,1015,0.5
39.4,0,0,-0.1,309.6,1078,0.2
39.5,0,0,-0.1,309.8,1141,0.6
39.6,0,6.9,4,308.6,1364,7.2
39.7,0,26.2,16.8,305.5,1716,25.6
39.8,0,39.9,25.2,303.7,1774,39.6
39.9,0,68.4,45.2,297.5,1758,67.5
40,0,99.4,66,290.7,1747,101
40.1,0,103.4,69,289.3,1752,106
40.2,0,103.5,71.8,288.4,1836,102.1
40.3,0,101.9,70.8,289.1,1860,102.1
40.4,0,107.3,79.1,286.1,1948,109.9
40.5,0,155.6,136.1,267.9,2128,160
40.6,0,200,185.8,254.7,2261,201.4
40.7,0,200,189.9,253.1,2362,193.8
40.8,0,187.3,171.5,254.4,2322,184.8
40.9,0,174,147.3,259.2,2211,178.9
41,0,186.7,166.1,258.3,2277,188.2
41.1,0,200,195.5,252.2,2420,195.1
41.2,0,185.8,188,252.8,2517,181.9
41.3,0,135.7,128.9,268.5,2512,138.6
41.4,0,50.4,44.2,293.6,2253,52.9
41.5,0,0,0,309.4,2004,-0.7
41.6,0,0,0,309.1,1844,-0.4
41.7,0,0,0,309.3,1731,-0.2
41.8,0,0,0,309.3,1759,-0.1
41.9,0,8.3,5.2,307.6,1753,8.4
42,0,45.4,32.3,300.2,1854,45.6
42.1,0,57.3,40.2,298,1894,57.7
42.2,0,41.4,26.1,302.6,1796,40.6
42.3,0,22.9,14,306.5,1631,21
42.4,0,0.9,0.3,310.1,1580,0.4
42.5,0,0.9,0.2,309.8,1589,0.8
42.6,0,1.9,0.8,309.9,1502,2.4
42.7,0,33.3,11.2,306.6,1549,21
42.8,0,62,30.4,302,1726,46.1
42.9,0,32.5,24.1,304.3,1706,33.5
43,0,8.9,7.1,308.4,1474,12.3
43.1,0,26.2,13.9,306.6,1475,25.8
43.2,0,34.1,18.7,305.4,1573,33.5
43.3,0,64.8,38.6,299.7,1609,65
43.4,0,101.5,60.3,292.9,1590,102.8
43.5,0,99.9,60.7,292.4,1614,99.2
43.6,0,106.3,71.3,289.7,1775,107.7
43.7,0,147.2,105.7,279.6,1869,151.2
43.8,0,191.3,152.3,265.8,2006,186.8
43.9,0,200,181.8,255.1,2259,191
44,0,187.3,171.4,258.3,2308,179.3
44.1,0,186.7,164.5,262.7,2237,175.9
44.2,0,200,178.5,254.2,2243,193.4
44.3,0,200,179.6,251.2,2262,203.5
44.4,0,200,191.7,251.4,2392,205.7
44.5,0,200,209,246.8,2553,198.7
44.6,0,183.8,205,244.4,2680,180.5
44.7,0,169,219.6,240,2853,166.1
44.8,0,164.6,244.7,233.8,2979,167.7
44.9,0,158.4,243,235.4,3034,163
45,0,159.9,252.6,232.4,3108,152
45.1,0,156.5,256.7,227.7,3148,142.6
45.2,0,77.5,135,264.8,2958,70.1
45.3,0,0,6.6,304.9,2734,-1
45.4,0,0,-0.2,306.5,2674,-0.6
45.5,0,0,-0.2,307.5,2442,0
45.6,0,0,-0.2,308.6,1965,0
45.7,0,0,0,308.7,1568,-0.7
45.8,0,0.4,0.1,307.9,1540,-0.8
45.9,0,1.9,1,307.5,1718,1.1
46,0,2.9,1.8,307.9,1815,2.3
46.1,0,4.9,3.4,308.3,1923,5.5
46.2,0,6.9,5,308.8,2044,8.5
46.3,0,11.8,8.5,307.7,2033,11.6
46.4,0,22.3,16,304.9,2029,21.3
46.5,0,26,18.4,303.8,2041,25.1
46.6,0,12.2,8.6,306.8,1928,11.1
46.7,0,0,0,309,1761,-0.9
46.8,0,0,-0.1,309.1,1582,-1
46.9,0,0,-0.1,309.6,1532,0.2
47,0,4.4,2.7,308.9,1647,5.1
47.1,0,9.5,5.6,308.1,1640,10.1
47.2,0,30.5,17.6,304.7,1586,32.9
47.3,0,29.4,16.3,304.9,1507,30.1
47.4,0,3,1.2,309.8,1464,2.5
47.5,0,2.4,1.2,309.8,1494,3.5
47.6,0,9.4,4.8,308.4,1501,10
47.7,0,52.2,35.1,299.5,1662,54
47.8,0,98.4,63.4,291,1709,97.9
47.9,0,70.7,40.8,297.9,1553,67.9
48,0,18.2,10.4,307.3,1501,17.3
48.1,0,20.5,10.5,307.1,1421,21.2
48.2,0,65.5,35,299.3,1456,66
48.3,0,88,51.6,294.5,1597,87.3
48.4,0,63.9,38.1,298.8,1646,62.8
48.5,0,43.5,25.6,302.5,1694,44
48.6,0,27.9,16.3,305,1663,28.4
48.7,0,5.1,2.5,309.5,1546,3.9
48.8,0,0,0,310.5,1438,-0.5
48.9,0,2.9,1.5,309.7,1456,2.4
49,0,4.4,2.3,310.2,1493,4.4
49.1,0,1.5,0.8,310.8,1343,1.5
49.2,0,0,0,310,1150,-0.4
49.3,0,24.9,13.1,306.2,1224,25.1
49.4,0,62.7,32.1,301,1378,62.5
49.5,0,71,35.6,299.8,1376,71.9
49.6,0,56.2,27.2,302.4,1346,57.9
49.7,0,45,20.5,305.1,1298,45.3
49.8,0,45.5,20.4,304.8,1287,45
49.9,0,42,17.8,305.3,1217,40.8
50,0,35.9,14.6,306.9,1175,35.1
50.1,0,34.9,14.6,306.4,1211,35.5
50.2,0,24.2,10,307.1,1186,25.1
50.3,0,31.6,14.3,306.3,1239,30.5
50.4,0,98.5,56.9,294.7,1455,92.6
50.5,0,135.7,79.3,287.1,1524,132.3
50.6,0,121.5,69.7,288.6,1531,124.8
50.7,0,110.1,65.7,290.8,1606,109.6
50.8,0,99.9,59.5,293.1,1618,99.3
50.9,0,101.9,64.2,291.3,1697,102.4
51,0,131,94.7,283.1,1863,128.6
51.1,0,178.6,146.1,268.2,2036,184.9
51.2,0,200,171.7,260.1,2114,199.8
51.3,0,200,180.2,258.4,2227,183.4
51.4,0,200,202.5,251,2456,199.2
51.5,0,105.4,112,276.1,2149,113.2
51.6,0,34.8,21.7,302.8,1775,35.6
51.7,0,124.7,94,283.2,1892,119.5
51.8,0,192.4,148.2,268.5,1928,180.8
51.9,0,149.9,111.1,276.4,1970,147.7
52,0,53.4,38.3,296.4,1884,55.2
52.1,0,2.9,1.2,308.5,1766,1.9
52.2,0,11.2,6.8,307.3,1829,11.4
52.3,0,17,10.2,306.4,1787,15.8
52.4,0,16.4,9.2,306.9,1695,15.2
52.5,0,49.8,33.1,300.8,1756,48.1
52.6,0,77.5,53.6,294.5,1868,77.8
52.7,0,55.8,37.4,298.5,1843,58.1
52.8,0,30,18.1,304.1,1748,29.5
52.9,0,32.3,19.6,303.8,1741,32.5
53,0,44.5,27.5,302,1749,45.1
53.1,0,56.8,35.1,299.8,1720,54.3
53.2,0,68.4,43.7,297,1745,68.4
53.3,0,71.9,47.4,295.6,1784,76
53.4,0,115.2,76.4,288.4,1829,107.4
53.5,0,178.6,134.1,273.1,1954,163.8
53.6,0,200,181.2,258.8,2203,194.7
53.7,0,185.3,185.3,253.5,2429,192
53.8,0,86.7,99,277.3,2387,109.3
53.9,0,0,12,305.5,1838,14.8
54,0,0,0,309.9,1187,-0.7
54.1,0,0,0,310.2,1000,-0.9
54.2,0,0,0,309.8,1089,-1.1
54.3,0,0,0,309.9,1139,-0.5
54.4,0,5.9,2.4,309.3,1090,5.4
54.5,0,34.5,14.6,305.8,1123,33.5
54.6,0,111.4,58.7,292.6,1306,114.5
54.7,0,167,90.2,283.4,1382,170.2
54.8,0,118.4,57,293.1,1221,118.7
54.9,0,37.5,14.5,305.8,1103,39.5
55,0,44.1,29.1,301.6,1479,44
55.1,0,42.8,29.3,300.9,1522,42.2
55.2,0,0,0,310.1,1240,0.6
55.3,0,0,-0.1,310.3,1274,-0.8
55.4,0,0,-0.1,310.3,1162,-1
55.5,0,17.6,8.9,307.3,1266,17.7
55.6,0,59.9,31.6,300.3,1430,61.4
55.7,0,81.5,42.7,297.4,1409,84
55.8,0,79.9,39.7,298.7,1361,78.2
55.9,0,79,39.9,298.8,1389,76.8
56,0,79.9,42.7,297.8,1472,78.2
56.1,0,95.7,54,294.1,1513,94.9
56.2,0,134.4,87.5,284.1,1658,137.9
56.3,0,180.6,113.5,277,1796,177.2
56.4,0,200,144.9,269.6,1968,189.5
56.5,0,200,168.1,262.9,2065,191.5
56.6,0,200,155.6,262.3,1971,200.8
56.7,0,200,154.7,261,1973,201.6
56.8,0,200,159,260.2,2033,200.8
56.9,0,200,166.3,257.6,2131,198.7
57,0,200,174.3,256.8,2240,200.8
57.1,0,200,183,255.5,2342,213.1
57.2,0,200,193.3,251.8,2410,204
57.3,0,102,100.7,278.2,2254,99.2
57.4,0,0,-0.2,308.1,1870,0.2
57.5,0,0,-0.2,308.8,1522,0.1
57.6,0,0,-0.1,309.2,1151,0.1
57.7,0,0,0,309.4,1076,0
57.8,0,0.4,0.1,309.8,1211,0.5
57.9,0,1.9,0.7,309.1,1322,1.1
58,0,5.4,2.9,308.6,1515,5.4
58.1,0,41.3,22.8,303.4,1669,37.9
58.2,0,78.9,46.9,295.9,1732,73.5
58.3,0,126,70.2,289.3,1733,100.8
58.4,0,178.4,123.6,274.4,1924,153.6
58.5,0,191.9,163.6,261.3,2079,192.1
58.6,0,199.5,180,253.6,2218,210.3
