xtime[s],xdist    [m],PM_commandedTorque[Nm],PM_dcBusCurrent[A],PM_dcBusVolt[V],PM_motorSpeed[rpm],PM_torqueFeedback[Nm]
0,0,43.5,28.2,305.1,1849,42.3
0.1,0,41.5,26.3,304.8,1818,41.4
0.2,0,46.8,30.7,303.6,1845,48.2
0.3,0,59.3,41.3,301,1917,60.8
0.4,0,65.9,48.7,298.3,2026,68
0.5,0,78.2,59.3,295,2047,80.9
0.6,0,144.4,120.5,275.7,2044,148.1
0.7,0,200,171.9,258.4,2096,207.3
0.8,0,102,86.3,285.1,2008,106.6
0.9,0,0,0,313.2,1815,-0.3
1,0,0,0,313.7,1637,0.2
1.1,0,0,0,314.2,1561,0.4
1.2,0,0.4,0.2,313.9,1526,0.5
1.3,0,2.4,1.1,313.3,1445,2.5
1.4,0,5.4,2.7,312.5,1430,5.4
1.5,0,6.4,3,312.4,1394,6.1
1.6,0,11.8,5.6,312.2,1329,11.7
1.7,0,31.2,15.6,308.9,1344,32.4
1.8,0,52.4,27.1,305.5,1423,54
1.9,0,55.5,30,304.5,1508,54.9
2,0,51.9,28.5,304.7,1544,50.8
2.1,0,52.9,29.1,304.7,1546,52.6
2.2,0,54.4,29.6,304.4,1537,52.9
2.3,0,58.9,31.2,303.6,1488,59.4
2.4,0,82.6,51.1,298.6,1627,80.4
2.5,0,124.5,92.1,285.7,1888,120.9
2.6,0,137.1,98.7,282.5,1836,138.7
2.7,0,148.5,111.4,279.7,1930,148
2.8,0,158.7,137.8,270.4,2222,162.4
2.9,0,172.9,152.4,263.7,2221,174.9
3,0,200,178.1,257.6,2227,191.8
3.1,0,200,186.1,254.1,2377,194.4
3.2,0,200,184.2,253.6,2329,197.7
3.3,0,200,175.2,256,2209,202.2
3.4,0,200,182.8,250.9,2302,204.7
3.5,0,104.4,101.2,277.5,2138,105.2
3.6,0,2.5,1.1,310.2,2010,1.5
3.7,0,0,0,311.3,2051,-0.3
3.8,0,0,0,311.5,1940,0.2
3.9,0,0,0,311.6,1885,0.2
4,0,0,0,312,1822,-0.3
4.1,0,0,0,312.1,1739,-0.6
4.2,0,0.4,0.3,312.5,1534,0.5
4.3,0,2.4,1.3,312,1442,3.2
4.4,0,7.9,2.1,311.4,1505,9.1
4.5,0,12,4.3,311.7,1488,12.4
4.6,0,25.7,15,309.1,1568,26.6
